Student_ID,Age,Gender,Year_of_Study,Sleep_Hours,Study_Hours_Per_Week,GPA,Social_Media_Hours,Screen_Time_Hours,Physical_Activity,Financial_Stress,Family_Support,Attendance_Rate,Part_Time_Job,Diet_Quality,Previous_Mental_Health_History,Mental_Health_Risk
STU0001,22,Male,3,6.6,17.6,2.91,6.9,7.5,Moderate,8.5,4.0,78.0,No,Poor,No,High
STU0002,21,Male,4,5.6,22.4,2.92,7.6,11.5,Low,4.5,5.3,85.4,Yes,Average,No,Medium
STU0003,22,Male,5,7.1,28.1,2.68,6.5,8.9,Low,4.8,6.1,79.5,No,Average,No,Medium
STU0004,24,Male,1,4.5,14.8,2.23,5.5,7.6,High,3.7,8.0,73.9,No,Average,Yes,High
STU0005,20,Female,1,6.7,17.2,2.69,4.3,7.0,Moderate,8.0,7.4,99.8,Yes,Average,No,Medium
STU0006,20,Female,4,6.8,18.6,2.56,8.5,11.8,High,7.0,3.9,85.1,Yes,Average,No,Medium
STU0007,24,Male,2,7.7,15.0,2.77,8.8,10.2,Low,6.1,7.7,100.0,No,Good,No,Low
STU0008,23,Non-binary,3,7.9,20.5,2.65,6.1,7.6,Low,6.1,6.5,78.9,No,Average,Yes,Medium
STU0009,20,Female,3,6.2,28.6,2.42,3.9,7.2,Moderate,5.3,8.4,72.6,No,Good,No,Low
STU0010,22,Male,3,6.6,20.5,2.28,6.9,7.4,Moderate,7.3,5.7,92.7,No,Average,No,Medium
STU0011,20,Male,5,6.0,31.3,2.94,4.8,6.6,Low,8.8,3.6,82.6,No,Good,No,High
STU0012,20,Female,5,5.6,27.2,2.81,5.2,11.3,Moderate,5.4,8.7,87.8,No,Poor,Yes,Medium
STU0013,22,Female,4,7.1,22.1,2.33,6.7,8.0,Moderate,5.2,6.9,74.5,Yes,Poor,Yes,High
STU0014,17,Female,2,5.4,17.0,2.4,6.6,10.5,Low,7.0,6.7,84.1,Yes,Average,Yes,High
STU0015,17,Male,4,6.3,23.3,2.83,4.5,6.3,Low,8.7,5.7,77.4,No,Good,No,High
STU0016,20,Male,1,5.7,17.4,2.08,5.9,9.0,Moderate,7.2,6.8,82.0,No,Average,No,Medium
STU0017,19,Male,1,7.4,20.5,2.96,6.6,9.9,Moderate,6.4,5.3,84.4,No,Average,No,Medium
STU0018,22,Male,4,8.8,25.4,2.76,6.0,9.9,Moderate,5.4,9.4,88.2,No,Poor,No,Low
STU0019,19,Male,2,5.4,22.7,2.94,6.0,8.3,Moderate,8.2,5.1,92.0,No,Average,No,High
STU0020,18,Male,1,4.8,11.1,2.01,7.8,12.7,Low,7.7,5.6,83.7,Yes,Average,No,High
STU0021,24,Female,1,6.7,13.3,2.06,6.3,8.1,High,6.3,4.7,85.5,No,Good,No,Medium
STU0022,21,Female,4,6.8,21.1,2.47,6.1,8.9,High,7.2,5.5,84.1,No,Average,Yes,Medium
STU0023,21,Male,3,7.0,22.3,2.63,2.4,5.2,Moderate,6.9,7.2,82.7,No,Average,Yes,Medium
STU0024,18,Female,3,6.3,19.6,2.41,5.6,6.8,Low,3.3,7.0,87.8,No,Poor,No,Low
STU0025,20,Male,1,6.6,17.9,2.43,7.0,9.2,Moderate,6.1,9.2,83.8,No,Poor,Yes,Medium
STU0026,21,Female,4,6.7,20.3,2.71,5.6,8.3,Moderate,7.2,5.1,85.7,Yes,Average,No,High
STU0027,18,Male,4,7.9,24.2,2.73,5.1,7.1,High,8.7,6.1,89.2,No,Average,Yes,Medium
STU0028,22,Female,2,4.6,20.7,2.42,4.9,10.3,High,7.3,2.6,77.3,No,Average,No,High
STU0029,20,Non-binary,2,6.4,9.7,1.73,8.0,9.5,High,6.8,8.0,90.4,No,Average,Yes,High
STU0030,20,Female,1,7.0,23.5,2.81,6.2,10.1,Low,4.6,2.9,85.1,No,Poor,No,Medium
STU0031,20,Male,5,5.8,25.9,2.66,6.2,9.7,High,5.9,4.2,86.8,Yes,Average,Yes,Medium
STU0032,25,Female,3,8.7,12.9,2.98,5.0,7.5,Moderate,2.2,9.3,87.6,No,Good,No,Low
STU0033,21,Male,5,6.1,27.6,2.47,5.1,6.6,High,3.2,6.7,89.4,No,Average,No,Low
STU0034,19,Female,2,6.8,18.1,1.98,5.9,7.5,Moderate,2.8,5.9,84.3,Yes,Average,No,Medium
STU0035,23,Female,4,7.4,23.7,2.91,5.3,7.2,Low,7.3,4.3,87.1,No,Average,Yes,Medium
STU0036,18,Male,4,6.1,28.0,2.87,4.6,5.0,Moderate,6.6,6.9,97.4,No,Average,No,Low
STU0037,21,Female,3,4.8,24.0,2.25,5.3,6.6,Low,7.7,7.1,61.1,No,Poor,No,High
STU0038,17,Female,5,6.3,28.2,2.33,6.0,6.7,Moderate,3.3,8.3,92.7,No,Poor,Yes,Medium
STU0039,18,Male,2,7.9,19.8,3.11,4.1,8.2,High,6.0,8.3,95.1,Yes,Poor,No,Low
STU0040,21,Female,1,6.4,14.6,2.81,8.3,11.5,Low,5.6,7.4,74.0,No,Good,Yes,High
STU0041,23,Male,3,5.9,28.1,2.01,5.7,9.1,Low,7.8,6.3,88.6,Yes,Poor,Yes,High
STU0042,21,Female,4,7.8,18.1,2.45,6.1,9.3,Low,6.1,6.0,92.1,No,Good,No,Low
STU0043,21,Female,3,6.4,21.6,3.1,6.7,9.4,Moderate,4.6,5.3,92.5,No,Good,Yes,Medium
STU0044,20,Female,1,6.2,15.3,2.25,5.0,9.3,High,8.0,6.4,72.6,No,Average,No,Medium
STU0045,18,Female,3,7.0,24.3,2.57,4.9,6.7,Low,8.8,8.4,90.2,No,Average,Yes,Medium
STU0046,19,Female,2,7.6,14.6,2.39,6.4,9.0,Low,5.7,7.5,91.4,No,Average,No,Medium
STU0047,20,Male,2,9.4,11.0,2.15,8.3,11.7,High,2.5,7.7,78.9,Yes,Average,No,Low
STU0048,23,Female,3,7.7,21.6,2.18,5.8,6.7,High,7.4,7.8,86.2,Yes,Good,No,Low
STU0049,22,Male,4,8.1,25.1,3.14,5.9,12.1,Low,4.9,5.4,86.4,Yes,Poor,Yes,Medium
STU0050,17,Female,1,6.2,21.0,2.01,5.3,7.8,Moderate,2.8,8.2,88.3,Yes,Poor,Yes,Medium
STU0051,22,Male,2,5.7,12.9,2.36,7.2,9.9,Moderate,4.2,2.8,82.0,No,Poor,No,High
STU0052,20,Male,2,6.9,22.6,2.93,7.4,11.4,Moderate,8.1,4.4,83.5,No,Average,Yes,High
STU0053,20,Female,1,6.9,24.5,2.28,6.5,10.1,Moderate,5.5,4.6,83.4,No,Poor,No,Medium
STU0054,22,Male,4,5.6,22.5,2.29,5.7,8.2,High,7.0,4.7,74.3,No,Average,No,High
STU0055,23,Female,5,6.6,21.8,2.98,6.5,9.2,Low,3.1,8.4,86.9,Yes,Average,Yes,Medium
STU0056,23,Male,2,7.2,16.4,2.66,6.9,7.6,Low,6.4,7.2,88.5,No,Poor,No,Medium
STU0057,19,Male,4,7.2,24.1,2.54,6.1,7.9,Moderate,5.8,5.5,91.3,No,Good,No,Low
STU0058,20,Female,4,7.4,26.3,3.17,6.5,9.6,Moderate,4.0,6.7,90.8,Yes,Poor,No,Low
STU0059,22,Male,4,7.1,21.6,3.01,6.9,9.9,High,5.0,8.2,78.0,No,Poor,No,Low
STU0060,23,Male,1,6.7,21.2,2.65,5.8,9.8,Moderate,6.5,6.3,95.4,Yes,Poor,No,High
STU0061,20,Female,5,6.2,22.5,2.34,6.4,8.8,Low,5.6,4.9,94.1,No,Good,Yes,Medium
STU0062,21,Male,2,6.7,11.0,2.09,6.5,7.3,Moderate,5.5,7.0,83.3,No,Good,Yes,Medium
STU0063,19,Female,2,8.8,22.4,2.87,4.8,8.6,Moderate,4.1,7.0,82.0,No,Poor,No,Low
STU0064,18,Male,1,6.7,5.9,2.1,7.1,11.3,High,2.5,7.1,78.9,No,Poor,No,Low
STU0065,23,Male,2,6.6,17.2,2.76,6.2,9.8,Moderate,7.5,6.1,85.1,No,Good,No,Medium
STU0066,24,Female,1,5.8,27.5,2.27,3.6,5.9,Moderate,6.1,5.6,85.6,No,Average,No,High
STU0067,21,Male,1,10.0,15.0,2.2,7.4,11.2,Moderate,6.1,6.0,81.1,No,Poor,No,Low
STU0068,23,Male,2,5.6,13.5,2.35,3.9,10.5,Moderate,7.0,8.3,78.1,Yes,Average,No,Medium
STU0069,22,Male,4,6.3,23.8,2.51,8.3,10.9,Moderate,4.8,3.8,85.1,No,Good,Yes,High
STU0070,20,Male,4,7.3,23.8,2.54,7.1,8.0,Low,5.1,7.8,87.0,No,Poor,No,Low
STU0071,22,Female,2,7.5,18.6,2.05,5.9,7.7,High,3.5,4.5,74.9,No,Poor,No,Low
STU0072,24,Male,4,7.9,26.6,2.86,5.3,8.6,Moderate,6.4,8.8,89.2,Yes,Poor,No,Low
STU0073,21,Female,4,8.8,19.8,2.69,6.3,6.9,Moderate,2.0,3.8,87.3,Yes,Average,Yes,Low
STU0074,24,Female,4,7.4,30.8,3.14,4.3,7.0,High,3.7,8.5,83.8,No,Poor,Yes,Low
STU0075,17,Male,1,5.6,16.0,2.39,6.6,9.6,High,4.0,3.7,92.7,Yes,Good,No,Medium
STU0076,23,Female,3,6.5,23.9,2.63,5.5,9.8,High,4.8,4.6,86.7,No,Good,No,Low
STU0077,21,Male,5,7.1,24.5,3.09,5.5,9.6,High,3.2,7.4,87.0,Yes,Average,No,Low
STU0078,20,Non-binary,3,9.1,26.1,2.53,5.6,9.1,Low,5.1,4.0,84.6,Yes,Poor,No,Low
STU0079,21,Male,2,5.3,17.0,2.54,5.0,4.9,Moderate,2.9,3.6,88.3,Yes,Good,Yes,High
